id,title,authors,year,journal,doi,official_url,pubmed_url,category,study_type,population,variables,key_findings,limitations,rag_summary,keywords
H11,Is a wet-bulb temperature of 35°C the correct threshold for human survivability?,Not available,2023,Environmental Research Letters (IOPscience),Not available,https://iopscience.iop.org/article/10.1088/1748-9326/ace83c,Not available,"Heat, Weather & Human Health",Physiological/heat-index modeling study,"Modeled acclimatized, young, healthy adult outdoors in shade",Wet-bulb temperature; heat index; outdoor habitability thresholds,Heat-index-based model provides two-threshold system (vs single Tw value); questions whether 35°C Tw over- or under-estimates true survivability depending on wind/radiative conditions,"Focused on healthy, acclimatized adults — does not address vulnerable subgroups directly; outdoor/shade-only scenario","Provides an alternative heat-index-based framework (beyond single wet-bulb value) for assessing outdoor heat habitability, useful context for how 'feels-like' temperature relates to physiological risk.",heat index; wet-bulb temperature; outdoor habitability; climate
A01,Short-Term PM2.5 Exposure and Cardiovascular Mortality: A Global Exposure-Response Analysis to Inform Alert Thresholds,Not available,2025,Journal of the American College of Cardiology (JACC),10.1016/j.jacc.2025.11.055,https://www.jacc.org/doi/10.1016/j.jacc.2025.11.055,Not available,Air Quality & Health,"Systematic review and meta-analysis (3-stage meta-regression, spline functions)","100 epidemiologic studies, 123 effect estimates, global, up to May 2025",Short-term PM2.5 exposure; cardiovascular mortality; nonlinear exposure-response,Nonlinear exposure-response relationship confirmed; proposed alert threshold of 136 µg/m3 could prevent 73.2% of attributable deaths while affecting only 32% of at-risk person-days,"Global pooled function may not reflect India-specific baseline pollution/comorbidity context; alert-threshold trade-off is a policy choice, not a clinical cutoff",Most current (2025) global meta-analysis establishing a nonlinear PM2.5-cardiovascular mortality curve and a candidate short-term alert threshold (136 µg/m3) — directly relevant to SwasthyaSathi's AQI-based risk fusion engine.,PM2.5; cardiovascular mortality; exposure-response; alert threshold; air quality
A02,"Short-term exposure to particulate matter (PM10 and PM2.5), nitrogen dioxide (NO2), and ozone (O3) and all-cause and cause-specific mortality: Systematic review and meta-analysis",Not available,2020,Environment International (per PubMed record),Not available,https://pubmed.ncbi.nlm.nih.gov/32590284/,https://pubmed.ncbi.nlm.nih.gov/32590284/,Air Quality & Health,Systematic review and meta-analysis,"Observational time-series studies, outdoor air pollution, non-occupational","PM10, PM2.5, NO2, O3; all-cause, cardiovascular, respiratory, cerebrovascular mortality","Positive association found between short-term PM10/PM2.5/NO2/O3 exposure and all-cause mortality; PM10 and PM2.5 also linked to cardiovascular, respiratory and cerebrovascular mortality; robust to sensitivity analyses",Effect sizes per 10 µg/m3 increase may not linearly extrapolate to India's higher ambient pollution levels,"Establishes high-confidence, multi-pollutant (PM10, PM2.5, NO2, O3) short-term mortality associations for all-cause and cause-specific outcomes — core evidence for the AQI component of the risk engine.",PM10; PM2.5; NO2; ozone; short-term exposure; mortality
A03,Long-term exposure to particulate matter on cardiovascular and respiratory diseases in low- and middle-income countries: A systematic review and meta-analysis,Not available,2023,Frontiers in Public Health,Not available,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1134341/full,Not available,Air Quality & Health,Systematic review and meta-analysis (PRISMA 2020),"38 cohort/case-control studies, low- and middle-income countries","PM1, PM2.5, PM10; cardiovascular and respiratory morbidity/mortality in LMICs",Long-term PM exposure associated with cardiovascular and respiratory morbidity/mortality in LMICs; PM1 effects understudied relative to PM2.5/PM10,"LMIC studies underrepresented (only 38 of 1,978 initial hits met criteria); heterogeneous exposure assessment methods","LMIC-focused (relevant to India) systematic review confirming long-term PM exposure raises cardiovascular/respiratory disease risk, while flagging that finer PM1 particles remain understudied in these settings.",LMIC; PM1; PM2.5; PM10; cardiovascular; respiratory; air pollution
A04,Relationship between fine particulate matter (PM2.5) concentration and risk of hospitalization due to chronic obstructive pulmonary disease: a systematic review and meta-analysis,Not available,2023,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10641956/,Not available,Air Quality & Health,Systematic review and meta-analysis,"19 studies, 2010-2022",PM2.5 concentration; COPD hospitalization risk (odds ratio),Pooled analysis (19 studies) shows a significant association between PM2.5 exposure and increased COPD hospitalization risk,High heterogeneity across included studies (I2 = 94.86%); publication bias examined but residual bias possible,"Confirms PM2.5 elevation is linked to increased COPD hospitalization risk, relevant to flagging respiratory-vulnerable users during poor-AQI periods.",PM2.5; COPD; hospitalization; respiratory disease
A05,Epidemiological Association Between Long-Term Fine Particulate Matter Exposure and Cardiovascular Disease: A Systematic Review and Meta-Analysis,Not available,2025,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12831939/,Not available,Air Quality & Health,Systematic review and meta-analysis (PRISMA),"4 cohort studies, adults ≥15 years without baseline CVD","Long-term PM2.5 exposure; CVD incidence, cardiovascular mortality, ischemic heart disease","Increased CVD risk with long-term PM2.5 exposure (pooled HR 1.22, 95% CI 1.06-1.41); cardiovascular mortality and IHD associations were NOT statistically significant in this pooled analysis",Very small number of pooled studies (n=4); high heterogeneity (I2 up to 96%); non-significant findings for mortality/IHD should not be over-interpreted as 'no risk',"Important nuance: while overall CVD incidence rises with long-term PM2.5 exposure, this particular meta-analysis did NOT find a statistically significant link to cardiovascular mortality or ischemic heart disease specifically — illustrates why SwasthyaSathi must not claim mortality-level certainty from PM2.5 alone.",PM2.5; cardiovascular disease; ischemic heart disease; meta-analysis; non-significant
A06,Sex Differences in Cardiovascular Risk Associated With Long-Term PM2.5 Exposure: A Systematic Review and Meta-Analysis of Cohort Studies,Not available,2022,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8847390/,Not available,Air Quality & Health,Systematic review and meta-analysis of cohort studies (PRISMA),25 cohort studies; 3.6M IHD and 1.3M stroke cases among 63.7M participants,Long-term PM2.5; sex-specific IHD and stroke risk,Long-term PM2.5 exposure associated with IHD and stroke in both sexes; explores possible (not conclusively proven) greater vulnerability in women via relative-risk-ratio comparisons,Sex-difference findings are exploratory/heterogeneous across cohorts; not a basis for individual-level sex-specific diagnosis,"Large pooled cohort evidence linking long-term PM2.5 to ischemic heart disease and stroke, with exploratory (not definitive) evidence of sex-based differences in vulnerability.",PM2.5; sex differences; ischemic heart disease; stroke; cohort studies
A07,"Effect modification by sex for associations of fine particulate matter (PM2.5) with cardiovascular mortality, hospitalization, and emergency room visits: systematic review and meta-analysis",Not available,2022,Not available,Not available,https://pubmed.ncbi.nlm.nih.gov/35662857/,https://pubmed.ncbi.nlm.nih.gov/35662857/,Air Quality & Health,Systematic review and meta-analysis (GRADE quality rating),"Studies Jan 1995-Feb 2020, multiple countries","PM2.5; cardiovascular mortality, hospitalization, ER visits; sex as effect modifier",Evidence for sex-differential cardiovascular risk from PM2.5 remains unclear/mixed after GRADE quality assessment,Explicitly flagged by the authors as producing unclear evidence for sex-based risk differences — should not be used to assert a definitive sex-specific risk claim,"A caution-flag paper: despite pooling substantial data, evidence for whether men or women face higher PM2.5-cardiovascular risk remains genuinely unclear per GRADE assessment.",PM2.5; sex differences; cardiovascular mortality; GRADE; uncertain evidence
A08,Association between PM2.5 and risk of hospitalization for myocardial infarction: a systematic review and a meta-analysis,Not available,2018,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7068986/,Not available,Air Quality & Health,Systematic review and meta-analysis,"26 studies, up to June 2018",Short-term PM2.5 exposure; myocardial infarction hospitalization risk,"10 µg/m3 increase in PM2.5 associated with RR = 1.02 (95% CI 1.01-1.03, p≤0.0001) for MI hospitalization — a small but statistically significant increase",Effect size is modest; residual confounding from co-pollutants and weather not fully addressed in all included studies,Quantifies a small but statistically robust increase in myocardial infarction hospitalization risk per 10 µg/m3 PM2.5 rise — useful for calibrating (not overstating) cardiac risk messaging tied to AQI spikes.,PM2.5; myocardial infarction; hospitalization; relative risk
A09,PM2.5 and cardiovascular diseases: State-of-the-Art review,Not available,2023,ScienceDirect (journal not specified in retrieved excerpt),Not available,https://www.sciencedirect.com/science/article/pii/S2772487523000508,Not available,Air Quality & Health,Narrative/state-of-the-art review,Synthesis of cohort and meta-analytic studies,PM2.5; arrhythmias (atrial fibrillation); stroke; broader cardiovascular disease spectrum,Cites a meta-analysis of 16 cohort studies (>2.2M individuals) linking long-term PM2.5 to stroke; separately notes PM2.5 associated with increased atrial fibrillation risk (~22% in one Taiwan study),Narrative review format — not itself a primary systematic review; individual cited effect sizes vary by study design,"Broad review connecting PM2.5 to a wider cardiovascular spectrum including stroke and atrial fibrillation, beyond the more commonly cited MI/CVD mortality endpoints.",PM2.5; atrial fibrillation; stroke; cardiovascular disease; review
A10,Air Pollution and Headache Disorders,Not available,Not available,Annals of Indian Academy of Neurology,Not available,https://www.ovid.com/jnls/annalsofian/fulltext/10.4103/aian.aian_1138_21~air-pollution-and-headache-disorders,Not available,Air Quality & Health,Narrative review,Synthesis of epidemiological and clinical studies,"Air pollution (NO2, CO, PM); headache and migraine disorders","Air pollution is associated with several neurological disorders including headache/migraine, plausibly via oxidative stress and neurogenic inflammation pathways","Narrative (non-systematic) review; causal mechanism proposed but not definitively established; published in an Indian neurology journal, giving some regional relevance","India-published review linking ambient air pollution to headache/migraine disorders — useful evidence base for AQI-linked headache-symptom flags, with appropriate caution about correlational strength.",air pollution; headache; migraine; neurological disorders; India
A11,The association between ambient air pollution and migraine: a systematic review,Not available,2024,Environmental Monitoring and Assessment,Not available,https://link.springer.com/content/pdf/10.1007/s10661-024-12376-w.pdf,Not available,Air Quality & Health,Systematic review,"14 of 1,417 identified articles met inclusion criteria","NO2, CO, PM2.5, PM10; migraine occurrence",NO2 (78.3% of relationships) and CO (68.0%) most consistently associated with migraine triggering among gaseous pollutants; evidence needs confirmation in larger studies,"Only 14 studies met inclusion criteria out of 1,417 screened; authors explicitly state findings need confirmation in larger-scale studies","Systematic review finding a plausible but not yet firmly confirmed link between NO2/CO exposure and migraine — should be presented as suggestive, not conclusive, evidence.",air pollution; migraine; NO2; carbon monoxide; systematic review
P01,Evaluating the Accuracy of Low-Cost Wearable Sensors for Healthcare Monitoring,Not available,2025,Micromachines (per PMC record),Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12299930/,Not available,Physiological Signals & Health,Validation study (Bland-Altman analysis),"10 participants, 10-day monitoring period",Heart rate; SpO2; blood pressure trend; body temperature via PPG/IR wearable prototype,"Bland-Altman analysis found clinically acceptable agreement thresholds (±5mmHg BP, ±5-10bpm HR, ±4% SpO2, ±0.5°C temp) versus validated commercial devices","Very small sample (n=10); prototype device, not commercially validated at scale; short monitoring window","Small validation study showing low-cost wearable prototypes can achieve clinically acceptable accuracy for HR, SpO2, BP-trend and temperature — relevant baseline for SwasthyaSathi's sensor accuracy claims, with the caveat of small sample size.",wearable sensor; heart rate; SpO2; validation; Bland-Altman
P02,Assessment of Physiological Signals from Photoplethysmography Sensors Compared to an Electrocardiogram Sensor: A Validation Study in Daily Life,Not available,2024,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11548599/,Not available,Physiological Signals & Health,Free-living validation study,"25 healthy volunteers, 10 days",PPG-derived heart rate (HR) and HRV vs ECG reference,"PPG-derived HR/HRV showed reasonable accuracy (mean absolute error <1 bpm for HR, 6-15ms for HRV), best during sleep; accuracy degraded during activity (14-51% higher relative error)","Healthy volunteers only; accuracy substantially reduced during movement/activity, a key limitation for real-world continuous monitoring",Establishes that consumer PPG wearables are reasonably accurate for HR/HRV at rest/sleep but notably less reliable during activity — important for SwasthyaSathi to avoid over-trusting vitals during active outdoor exposure.,PPG; ECG; heart rate variability; validation; free-living
P03,Continuous Monitoring of Heart Rate Variability in Free-Living Conditions Using Wearable Sensors: Exploratory Observational Study,Pooja Gaur; Dorota S Temple; Meghan Hegarty-Craver; Matthew D Boyce; Jonathan R Holt; Michael F Wenger; Edward A Preble; Randall P Eckhoff; Michelle S McCombs; Hope C Davis-Wilson; Howard J Walls; David E Dausch,2024,JMIR (exact sub-journal not specified in excerpt),10.2196/53977,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11339560/,Not available,Physiological Signals & Health,Exploratory observational study,"59 participants, 8-month continuous monitoring via Garmin Fenix 6 smartwatches",Interbeat interval (HRV); step count; self-reported symptoms/illness (respiratory infection focus),Demonstrates feasibility of an automated pipeline computing 'health risk scores' from continuous HRV/activity data linked to self-reported illness over an 8-month free-living period,"Exploratory design, not a validated diagnostic tool; illness labels are self-reported, introducing recall/reporting bias","Real-world (59-participant, 8-month) proof-of-concept that continuous wearable HRV monitoring combined with symptom logging can generate meaningful 'health risk' signals — directly analogous to SwasthyaSathi's personalization/baseline-learning goal.",heart rate variability; wearable; free-living; respiratory illness; health risk score
P04,The Sunrise SpO2 and Pulse Rate Accuracy Validation Study,Not available,Not available,ClinicalTrials.gov registry (NCT05386836),Not available,https://clinicaltrials.gov/study/NCT05386836,Not available,Physiological Signals & Health,Clinical accuracy validation trial (registry entry),Not specified in registry excerpt,SpO2 accuracy (ARMS) vs arterial blood CO-oximetry; pulse rate accuracy vs ECG,Trial protocol targets ARMS ≤3.5% accuracy standard for reflectance pulse oximetry across 70-100% SaO2 range,"This is a trial registration record, not a completed results publication — outcomes not yet confirmed in this source",Illustrates the rigorous clinical validation standard (ARMS ≤3.5%) that pulse-oximetry sensors must meet against arterial blood gold-standard — a useful accuracy benchmark to cite (not a completed-results source).,SpO2; pulse oximetry; accuracy validation; ARMS; clinical trial
P05,Validation of nocturnal resting heart rate and heart rate variability in consumer wearables,Michael B. Dial; Margaret E. Hollander; Emaly A. Vatne; Angela M. Emerson; Nathan A. Edwards; Joshua A. Hagen,2025,Physiological Reports,10.14814/phy2.70527,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12367097/,Not available,Physiological Signals & Health,Validation study,Not fully specified in excerpt,Nocturnal resting heart rate; HRV from consumer wearables,"Assesses validity of consumer wearable nocturnal HR/HRV metrics for potential clinical/monitoring use in cardiovascular disease, stress, and sleep-disorder populations",Focused on nocturnal metrics only; generalizability to daytime/active monitoring not addressed,"2025 validation study specifically on nighttime HR/HRV metrics from consumer wearables, relevant for baseline-establishment during rest/sleep in SwasthyaSathi's personalization engine.",heart rate variability; nocturnal; consumer wearables; validation
P06,A guide to consumer-grade wearables in cardiovascular clinical care and population health for non-experts,Not available,2025,npj Cardiovascular Health,Not available,https://www.nature.com/articles/s44325-025-00082-6,Not available,Physiological Signals & Health,Narrative review/guide,Synthesis of wearable validation literature,"SpO2, step count, HR from consumer wearables; agreement with medical-grade devices","SpO2 agreement with medical-grade pulse oximeters ranges from -2.7% to +5.9% (95% limits of agreement), with outliers up to 15%; frequent SpO2 underestimation noted in some devices",Consumer SpO2 accuracy varies substantially by device and skin/perfusion conditions; not validated for clinical diagnosis in patients with existing oxygenation disorders,"Important caution: consumer wearable SpO2 readings can deviate up to 15% from medical-grade values, meaning SwasthyaSathi should treat wearable SpO2 as a directional/trend signal, not a diagnostic-grade measurement.",consumer wearables; SpO2 accuracy; cardiovascular; population health
P07,State-of-the-art wearable sensors for cardiovascular health: a review,Not available,2025,npj Cardiovascular Health,Not available,https://www.nature.com/articles/s44325-025-00090-6,Not available,Physiological Signals & Health,Technical review,N/A (device/technology review),PPG sensor design (transmission vs reflection mode); heart rate; SpO2; pulse waveform,"Transmission-mode PPG (finger/ear clips) provides higher signal-to-noise ratio and better accuracy for SpO2/HR than reflection-mode (wrist) sensors, especially under low perfusion","Technical/engineering review, not a clinical outcomes study",Explains why sensor placement (finger/ear vs wrist) affects PPG-based HR/SpO2 accuracy — technically relevant for hardware design choices in the SwasthyaSathi wearable.,PPG; sensor design; wearable; SpO2; heart rate
S01,Does increased core temperature alter cognitive performance during exercise-induced heat strain? A narrative review,Not available,2023,Journal of Applied Physiology,Not available,https://journals.physiology.org/doi/abs/10.1152/japplphysiol.00070.2023,https://pubmed.ncbi.nlm.nih.gov/37141422/,Symptoms & Environmental Conditions,Narrative review,"31 included papers, exercise-heat studies","Core body temperature; cognitive performance (reaction time, memory, Stroop task); dehydration","Core temperature alone is not a sufficient predictor of cognitive impairment; reaction time, memory recall and Stroop-task performance are most sensitive to combined heat+dehydration strain",Evidence is 'equivocal' per the authors; heterogeneous exercise protocols and cognitive tests across studies limit direct comparison,"Important nuance for symptom logic: rising core temperature alone does NOT reliably predict cognitive/fatigue symptoms — combined physiological stressors (temperature + dehydration + exertion) matter more, so SwasthyaSathi should avoid single-variable causal claims about heat and cognitive symptoms.",core temperature; cognitive performance; heat strain; dehydration; narrative review
S02,Effects of heat strain on cognitive function among a sample of miners,Not available,Not available,Not available,Not available,https://pmc.ncbi.nlm.nih.gov/articles/PMC9170134/,Not available,Symptoms & Environmental Conditions,Controlled experimental study (environmental chamber),8 participants (miners),Heat stress (37.8°C); reaction time; Stroop effect; verbal memory; working memory,"Heat stress impaired serial reaction time, Stroop-task inhibition, and delayed memory; did NOT significantly affect continuous working memory (N-back) task","Very small sample (n=8); participants did not show clear dehydration, limiting ability to isolate heat vs. dehydration effects","Small controlled study showing heat stress selectively impairs some cognitive domains (reaction time, memory recall) but not others (working memory) — evidence that symptom relationships with heat are task/domain-specific, not uniform.",heat stress; cognitive function; reaction time; working memory; occupational
S03,High prevalence of hypohydration in occupations with heat stress—Perspectives for performance in combined cognitive and motor tasks,Not available,2018,PLOS ONE,Not available,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0205321,Not available,Symptoms & Environmental Conditions,Mixed occupational survey + controlled crossover laboratory study,139 workers (5 European industries) for hydration survey; 8 male participants for lab crossover,"Urine specific gravity (dehydration marker); core temperature elevation (1°C, 2°C); cognitive and motor task performance",Dehydration (~2% bodyweight deficit) aggravates the impact of hyperthermia on combined cognitive-motor task performance beyond either factor alone,"Lab sample very small (n=8, male only); occupational hydration survey and lab experiment are separate populations, not directly linked",Shows dehydration and heat interact synergistically to impair cognitive-motor performance — supports combined (not siloed) risk scoring for heat + hydration status rather than treating them as independent symptom triggers.,hypohydration; heat stress; cognitive-motor performance; occupational health
S04,Effects of heat stress and dehydration on cognitive function in elite female field hockey players,Not available,Not available,Not available,Not available,https://pmc.ncbi.nlm.nih.gov/articles/PMC6007074/,Not available,Symptoms & Environmental Conditions,Controlled experimental study,Elite female field hockey players,Exercise-induced dehydration (~2% body mass loss); working memory; vigilance; Stroop test,"Mixed/inconsistent findings on hypohydration's effect on cognition; complex Stroop-test performance actually improved in this cohort, contrasting with some other studies","Small elite-athlete sample not generalizable to general population or non-exercise heat exposure; findings partly contradict other heat-cognition studies, illustrating evidence inconsistency","Demonstrates that dehydration's effect on cognition is inconsistent across studies (this one found improved, not impaired, complex-task performance) — key evidence that SwasthyaSathi should NOT assert dehydration always causes cognitive symptoms.",dehydration; cognitive function; athletes; inconsistent evidence
